t_rel_s,alt_ft,x_ft,y_ft,pitch,roll
0.00,2002.9,717856,1328497,0.0604,0.0000
0.24,2002.2,717973,1328458,0.0604,0.0000
0.53,2001.3,718116,1328409,0.0604,0.0000
0.83,2000.4,718265,1328358,0.0604,-0.0000
1.13,1999.3,718416,1328308,0.0604,-0.0000
1.43,1998.3,718560,1328259,0.0604,-0.0000
1.72,1997.2,718704,1328210,0.0604,-0.0000
2.01,1996.0,718846,1328162,0.0604,-0.0000
2.31,1994.8,718989,1328113,0.0604,-0.0000
2.60,1993.5,719132,1328064,0.0604,-0.0000
2.89,1992.2,719274,1328016,0.0604,-0.0000
3.21,1990.7,719426,1327964,0.0604,-0.0000
3.50,1989.3,719569,1327915,0.0604,-0.0000
3.79,1987.8,719707,1327868,0.0605,-0.0000
4.07,1986.3,719843,1327821,0.0605,-0.0000
4.36,1984.7,719979,1327774,0.0605,0.0000
4.64,1983.1,720115,1327728,0.0605,0.0000
4.92,1981.4,720250,1327683,0.0605,0.0000
5.21,1979.6,720388,1327636,0.0605,0.0000
5.51,1977.8,720527,1327589,0.0605,0.0000
5.79,1975.9,720662,1327543,0.0605,0.0000
6.07,1974.1,720795,1327498,0.0605,0.0000
6.36,1972.1,720930,1327452,0.0606,0.0000
6.65,1970.1,721065,1327406,0.0606,0.0000
6.93,1968.1,721198,1327361,0.0606,0.0000
7.21,1966.0,721331,1327315,0.0606,0.0000
7.51,1963.8,721471,1327268,0.0606,0.0000
7.81,1961.6,721607,1327221,0.0606,0.0000
8.11,1959.2,721750,1327172,0.0606,0.0000
8.40,1956.9,721883,1327126,0.0606,0.0000
8.69,1954.6,722016,1327080,0.0607,0.0000
8.97,1952.3,722145,1327036,0.0607,0.0000
9.26,1949.9,722281,1326990,0.0607,0.0000
9.52,1947.7,722400,1326950,0.0607,0.0000
9.79,1945.4,722523,1326908,0.0607,0.0000
10.05,1943.0,722645,1326867,0.0607,0.0000
10.32,1940.7,722766,1326826,0.0607,0.0000
10.59,1938.3,722888,1326784,0.0607,0.0000
10.85,1935.8,723010,1326743,0.0607,0.0000
11.12,1933.3,723131,1326702,0.0606,0.0000
11.39,1930.8,723252,1326660,0.0606,0.0000
11.65,1928.3,723373,1326619,0.0606,0.0000
11.93,1925.5,723499,1326576,0.0606,0.0000
12.20,1922.9,723619,1326535,0.0606,0.0000
12.46,1920.2,723739,1326493,0.0606,0.0000
12.73,1917.5,723858,1326452,0.0606,0.0000
12.99,1914.8,723975,1326412,0.0606,0.0000
13.25,1912.1,724093,1326371,0.0606,0.0000
13.52,1909.2,724212,1326330,0.0606,0.0000
13.79,1906.4,724331,1326288,0.0606,0.0000
14.06,1903.4,724452,1326246,0.0606,-0.0000
14.32,1900.6,724568,1326206,0.0606,-0.0000
14.59,1897.6,724687,1326165,0.0606,-0.0000
14.85,1894.6,724805,1326125,0.0605,-0.0000
15.12,1891.6,724923,1326084,0.0605,-0.0000
15.39,1888.5,725041,1326043,0.0605,-0.0000
15.65,1885.4,725158,1326003,0.0605,-0.0000
15.92,1882.2,725276,1325964,0.0605,-0.0000
16.19,1879.0,725395,1325923,0.0602,-0.0000
16.45,1875.8,725509,1325884,0.0592,-0.0000
16.74,1872.2,725633,1325842,0.0572,-0.0000
17.00,1868.7,725749,1325803,0.0546,-0.0000
17.27,1864.9,725865,1325764,0.0512,-0.0000
17.54,1860.7,725980,1325724,0.0471,-0.0000
17.80,1856.0,726095,1325685,0.0424,-0.0000
18.07,1850.8,726211,1325646,0.0370,-0.0000
18.35,1844.7,726331,1325604,0.0308,-0.0000
18.64,1837.7,726452,1325563,0.0240,-0.0001
18.92,1829.9,726572,1325522,0.0171,-0.0001
19.20,1821.3,726691,1325481,0.0098,-0.0001
19.48,1811.6,726812,1325440,0.0028,-0.0001
19.76,1800.9,726936,1325398,-0.0009,-0.0002
20.05,1789.6,727063,1325354,-0.0004,-0.0002
