t_rel_s,alt_ft,x_ft,y_ft,pitch,roll
0.00,2000.0,713396,1330032,0.0479,0.0000
0.00,2000.0,713396,1330032,0.0479,0.0000
4.63,2012.6,715834,1329214,0.0597,0.0000
5.12,2012.6,716086,1329129,0.0598,0.0000
5.61,2012.3,716335,1329045,0.0599,0.0000
6.09,2011.9,716581,1328962,0.0599,0.0000
6.58,2011.3,716828,1328879,0.0599,0.0000
7.07,2010.5,717074,1328796,0.0600,0.0000
7.55,2009.5,717316,1328714,0.0600,0.0000
8.15,2008.1,717617,1328613,0.0600,0.0000
8.63,2006.8,717856,1328532,0.0601,0.0000
9.11,2005.3,718094,1328452,0.0601,-0.0000
9.59,2003.7,718331,1328372,0.0601,0.0000
10.09,2001.9,718574,1328291,0.0602,0.0000
10.57,1999.9,718810,1328210,0.0602,0.0000
11.05,1997.9,719044,1328132,0.0602,0.0000
11.53,1995.6,719276,1328054,0.0602,0.0000
12.01,1993.3,719507,1327976,0.0602,0.0000
12.48,1990.7,719738,1327898,0.0603,0.0000
12.96,1988.1,719966,1327820,0.0603,0.0000
13.44,1985.2,720193,1327743,0.0603,-0.0000
13.91,1982.3,720420,1327667,0.0603,-0.0000
14.38,1979.2,720644,1327591,0.0603,-0.0000
14.85,1976.0,720866,1327516,0.0604,0.0000
15.32,1972.7,721087,1327442,0.0604,0.0000
15.79,1969.2,721307,1327367,0.0604,0.0000
16.26,1965.7,721524,1327293,0.0604,0.0000
16.75,1961.8,721756,1327215,0.0604,0.0000
17.24,1957.8,721984,1327137,0.0604,0.0000
17.73,1953.8,722209,1327060,0.0605,0.0000
18.21,1949.6,722431,1326986,0.0605,0.0000
18.69,1945.4,722652,1326912,0.0605,0.0000
19.18,1941.0,722872,1326838,0.0605,0.0000
19.66,1936.6,723091,1326764,0.0604,0.0000
20.14,1931.9,723311,1326689,0.0604,0.0000
20.62,1927.2,723531,1326614,0.0604,0.0000
21.12,1922.2,723752,1326539,0.0604,0.0000
21.45,1918.8,723902,1326488,0.0605,0.0000
21.78,1915.4,724050,1326438,0.0605,0.0000
22.11,1911.9,724198,1326387,0.0605,0.0000
22.44,1908.3,724346,1326336,0.0605,0.0000
22.77,1904.7,724492,1326287,0.0605,0.0000
23.10,1901.0,724639,1326238,0.0604,0.0000
23.43,1897.3,724786,1326188,0.0604,0.0000
23.76,1893.5,724933,1326139,0.0603,0.0000
24.09,1889.7,725079,1326089,0.0603,0.0000
24.43,1885.8,725225,1326040,0.0603,0.0000
24.76,1881.7,725372,1325990,0.0603,0.0000
25.10,1877.7,725520,1325940,0.0602,0.0000
25.44,1873.5,725667,1325890,0.0602,0.0000
25.77,1869.3,725815,1325840,0.0602,0.0000
26.11,1865.0,725963,1325789,0.0602,0.0000
26.46,1860.5,726114,1325738,0.0602,0.0000
26.81,1856.0,726266,1325686,0.0601,0.0000
27.16,1851.4,726416,1325634,0.0601,0.0000
27.51,1846.7,726569,1325582,0.0601,0.0000
27.87,1841.8,726723,1325529,0.0601,0.0000
28.23,1836.9,726877,1325477,0.0600,0.0000
